ID,Component Name,Repository,Pattern,Severity,Metrics,File Path,Confidence,Validation Result,Review 1  Rating,Review 1  Notes,Reviewer 2 Rating,Reviewer 2  Notes
1,UnthemedLogs,Grafana,God Component,Extreme,"LOC=1031, JSX=51, Hooks=9",public/app/features/explore/Logs/Logs.tsx,95%,,Major Issues,"1200+ lines, Way too much happening",Major,Sp much going on here
2,Login,Mattermost,God Component,Extreme,"LOC=783, JSX=35, Hooks=9",components/login/login.tsx,90%,,Major Issues,Tangled logic with inline functions everywhere,Minor,Throttle handler leaks every render
3,TableNG,Grafana,God Component,Extreme,"LOC=826, JSX=20, Hooks=16",packages/grafana-ui/src/components/Table/TableNG/TableNG.tsx,95%,,Major Issues,"Deeply nested JSX, performance already struggling",Major,200-line function inside a function
4,Signup,Mattermost,God Component,Extreme,"LOC=700, JSX=39, Hooks=9",components/signup/signup.tsx,90%,,Major Issues,Form logic mixed with UI,Minor,Same mess as Login tbh
5,LogsPanel,Grafana,God Component,Extreme,"LOC=616, JSX=15, Hooks=9",public/app/plugins/panel/logs/LogsPanel.tsx,85%,,Major Issues,Doing way too much,Major,Three viewers jammed into one
6,QueryAndExpressionsStep,Grafana,God Component,Extreme,"LOC=591, JSX=41, Hooks=11",public/app/features/alerting/unified/components/rule-editor/query-and-alert-condition/QueryAndExpressionsStep.tsx,95%,,Minor Issues,Getting chunky but manageable,Minor,Callback does way too much
7,ConfigEditor,Grafana,Prop Drilling,Extreme,"options passed 14×, onOptionsChange passed 12×",Data source config editor,90%,,Clean,"Reasonable hooks, pretty solid",Clean,Honestly this one is great
8,PostComponent,Mattermost,God Component,Extreme,"LOC=503, JSX=45, Hooks=5",components/post/post_component.tsx,85%,,Major Issues,Too many responsibilities,Minor,Helper functions not memoized properly
9,RulesFilter.v2,Grafana,Inline Function,Extreme,24 inline functions,public/app/features/alerting/unified/rule-list/filter/RulesFilter.v2.tsx,95%,,Minor Issues,On the edge but okay,Clean,"Clean, nothing to complain about"
10,ToolbarActions,Grafana,God Component,Extreme,"LOC=533, JSX=54, Hooks=5",public/app/features/dashboard-scene/scene/NavToolbarActions.tsx,90%,,Clean,Straightforward,Minor,Too many push() calls inline
11,MultiCombobox,Grafana,God Component,Severe,"LOC=331, JSX=19, Hooks=10",packages/grafana-ui/src/components/Combobox/MultiCombobox.tsx,100%,,Minor Issues,Complex but expected for combobox,Minor,activeIndex -999 hack is sketchy
12,Search,Mattermost,God Component,Severe,"LOC=475, JSX=19, Hooks=5",components/search/search.tsx,85%,,Minor Issues,Not too bad for search component,Minor,Render methods should be components
13,AdvanceTextEditor,Mattermost,God Component,Severe,"LOC=448, JSX=28, Hooks=5",components/advanced_text_editor/advanced_text_editor.tsx,75%,,Major Issues,Messy state management,Minor,getEmojiPickerRef is pointless wrapper
14,SelfHostedPurchaseModal,Mattermost,God Component,Severe,"LOC=448, JSX=43, Hooks=11",components/self_hosted_purchase_modal.tsx,90%,,Major Issues,Way too much in a modal,Minor,submit() recreated every single render
15,FlameGraphContainer,Grafana,God Component,Severe,"LOC=254, JSX=13, Hooks=8",packages/grafana-flamegraph/src/FlameGraphContainer.tsx,70%,,Minor Issues,Reasonable for flame graph,Minor,"Few inline arrows, otherwise solid"
16,VisualEditor,Grafana,Prop Drilling,Severe,"query passed 5×, db passed 5×",packages/grafana-sql/src/components/visual-query-builder/VisualEditor.tsx,85%,,Major Issues,Deeply nested JSX,Clean,"Short, focused, does one thing"
17,Step2AlertRules,Grafana,Inline Function,Severe,18 inline functions,public/app/features/alerting/unified/components/import-to-gma/steps/Step2AlertRules.tsx,90%,,Minor Issues,Acceptable for wizard step,Clean,"Cards well organized, logic clean"
18,NavToolbarActions,Grafana,Inline Function,Severe,20 inline functions,public/app/features/dashboard-scene/scene/NavToolbarActions.tsx,95%,,Clean,Clear responsibilities,Minor,Inline render callbacks are fat
19,UserSelect,Refine,God Component,Severe,"LOC=315, JSX=24, Hooks=5",examples/refine-hr-ce/src/components/layout/sider/user-select.tsx,85%,,Minor Issues,manageable select component,Minor,Duplicate useList begging for hook
20,Content,Mattermost,God Component,Severe,"LOC=430, JSX=31, Hooks=9",components/content.tsx,80%,,Minor Issues,Workable,Minor,Button detail functions shouldn't be inline
21,DateTimePicker,Grafana,Prop Drilling,Moderate,"date, showSeconds, timeZone each passed 3×",packages/grafana-ui/src/components/DateTimePickers/DateTimePicker/DateTimePicker.tsx,60%,,Minor Issues,Typical date picker complexity,Clean,Nice split into sub-components
22,CustomStatusModal,Mattermost,God Component,Moderate,"LOC=364, JSX=22, Hooks=9",components/custom_status/custom_status_modal.tsx,70%,,Minor Issues,Standard modal stuff,Minor,Three side effects in one useEffect
23,FileAttachment,Mattermost,God Component,Moderate,"LOC=346, JSX=29, Hooks=5",components/file_attachment/file_attachment.tsx,65%,,Minor Issues,On the edge but okay,Minor,Four effects for one image load
24,PostList,Refine,God Component,Moderate,"LOC=245, JSX=21, Hooks=5",examples/table-material-ui-table-filter/src/pages/posts/list.tsx,70%,,Major Issues,Needs refactoring,Clean,"Filter + grid split, well done"
25,ConfirmButton,Grafana,Prop Drilling,Moderate,size passed 3×,packages/grafana-ui/src/components/ConfirmButton/ConfirmButton.tsx,50%,,Clean,Simple and clear,Clean,Focus restore logic is a nice touch
26,RadialBar,Grafana,Prop Drilling,Moderate,Multiple props passed 3× each,packages/grafana-ui/src/components/RadialGauge/RadialBar.tsx,60%,,Minor Issues,Clean for a chart component,Clean,Tiny and does one thing
27,DataTableFilter,Refine,Inline Function,Moderate,22 inline functions,packages/refine-ui/registry/new-york/refine-ui/data-table/data-table-filter.tsx,90%,,Minor Issues,Filtering logic contained well,Minor,Handlers recreated inside renderInput
28,AnnotationsStep,Grafana,God Component,Moderate,"LOC=221, JSX=24, Hooks=7",public/app/features/alerting/unified/components/rule-editor/AnnotationsStep.tsx,65%,,Minor Issues,Acceptable,Minor,JSX function needs memoizing
29,FlameGraphCanvas,Grafana,Inline Function,Moderate,7 inline functions,packages/grafana-flamegraph/src/FlameGraph/FlameGraphCanvas.tsx,70%,,Major Issues,Tangled rendering logic,Minor,Duplicate coord lookup in two handlers
30,PropsTable,Refine,Prop Drilling,Moderate,overrides passed 4×,documentation/src/components/props-table/index.tsx,60%,,Minor Issues,Straightforward,Minor,useMemo deps are misleading